date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:56	98024/98024	---MCZ	200	added ('OK')	application/font-woff	etag:%22ba421a370eabbc3d43585a770be1e18b-ssl-df%22	https://kalvin.netlify.app/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/fonts/fontawesome-webfont3e6e.woff	(from https://kalvin.netlify.app/css/font-awesome.min.css)
11:00:58	2785/2785	---MCZ	404	error ('Not%20Found')	text/html	etag:1532291161-ssl-df	https://kalvin.netlify.app/css/owl.video.play.png	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/css/owl.video.play.2a.delayed	(from https://kalvin.netlify.app/css/owl.carousel.min.css)
11:00:58	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:%226fbd06ce2be0d05e10b5320f3fe58186-ssl-df%22	https://kalvin.netlify.app/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/fonts/fontawesome-webfont3e6e.svg	(from https://kalvin.netlify.app/css/font-awesome.min.css)
11:00:58	1944/1944	---M-Z	200	added ('OK')	text/css	etag:%22f616bbd1a0425fefc267a0f216a9ac3f-ssl-df%22	https://kalvin.netlify.app/css/style-preview.css	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/css/style-preview.css	(from https://kalvin.netlify.app/index.html)
11:00:59	32571/32571	---MCZ	200	added ('OK')	text/html	etag:%224b79cc8d60599ab68c20c0d790358881-ssl-df%22	https://kalvin.netlify.app/index-main.html	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/index-main.html	(from https://kalvin.netlify.app/index.html)
11:00:59	39977/39977	---M--	200	added ('OK')	image/jpeg	etag:%2267ceb1e69a1f1b581295be98e254b565-ssl%22	https://kalvin.netlify.app/images/promo/promo-main.jpg	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/images/promo/promo-main.jpg	(from https://kalvin.netlify.app/index.html)
11:01:00	33085/33085	---MCZ	200	added ('OK')	text/html	etag:%22725bcebd8119489449ca5db798dc0454-ssl-df%22	https://kalvin.netlify.app/index-slider.html	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/index-slider.html	(from https://kalvin.netlify.app/index.html)
11:01:00	44092/44092	---M--	200	added ('OK')	image/jpeg	etag:%22fc09dcbcc651a6e1b2eee4e5104d0300-ssl%22	https://kalvin.netlify.app/images/promo/promo-slider.jpg	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/images/promo/promo-slider.jpg	(from https://kalvin.netlify.app/index.html)
11:01:01	32870/32870	---MCZ	200	added ('OK')	text/html	etag:%22b480df20d8d06c5205a97cf902eb9a8b-ssl-df%22	https://kalvin.netlify.app/index-ripples.html	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/index-ripples.html	(from https://kalvin.netlify.app/index.html)
11:01:02	32720/32720	---MCZ	200	added ('OK')	text/html	etag:%229c7c4557ece37c3041f65c2e30e4c2cc-ssl-df%22	https://kalvin.netlify.app/index-videobg.html	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/index-videobg.html	(from https://kalvin.netlify.app/index.html)
11:01:02	25281/25281	---M--	200	added ('OK')	image/jpeg	etag:%22efa058b3b4f4ae786c803acac36285c5-ssl%22	https://kalvin.netlify.app/images/promo/promo-videobg.jpg	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/images/promo/promo-videobg.jpg	(from https://kalvin.netlify.app/index.html)
11:01:03	32887/32887	---MCZ	200	added ('OK')	text/html	etag:%22e38a15a113636c4d575b642e7f36993e-ssl-df%22	https://kalvin.netlify.app/index-creative1.html	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/index-creative1.html	(from https://kalvin.netlify.app/index.html)
11:01:03	38706/38706	---M--	200	added ('OK')	image/jpeg	etag:%22c43adf2ad5b1c4b59d9f660ca6cfce4f-ssl%22	https://kalvin.netlify.app/images/promo/promo-creative1.jpg	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/images/promo/promo-creative1.jpg	(from https://kalvin.netlify.app/index.html)
11:01:04	32833/32833	---MCZ	200	added ('OK')	text/html	etag:%22fc977c9ed9e4ba1f4b1101115fb5b930-ssl-df%22	https://kalvin.netlify.app/index-creative2.html	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/index-creative2.html	(from https://kalvin.netlify.app/index.html)
11:01:04	39978/39978	---M--	200	added ('OK')	image/jpeg	etag:%229f7300c1ab9ff3b5f8c691279651ac4d-ssl%22	https://kalvin.netlify.app/images/promo/promo-creative2.jpg	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/images/promo/promo-creative2.jpg	(from https://kalvin.netlify.app/index.html)
11:01:05	32901/32901	---MCZ	200	added ('OK')	text/html	etag:%22003e22998fd5c218d8aadeaaf860b851-ssl-df%22	https://kalvin.netlify.app/index-creative3.html	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/index-creative3.html	(from https://kalvin.netlify.app/index.html)
11:01:06	43148/43148	---M--	200	added ('OK')	image/jpeg	etag:%220e15bc5c2920303c1d4f7b1c19ab77ec-ssl%22	https://kalvin.netlify.app/images/promo/promo-creative3.jpg	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/images/promo/promo-creative3.jpg	(from https://kalvin.netlify.app/index.html)
11:01:07	32895/32895	---MCZ	200	added ('OK')	text/html	etag:%222ded1272e6c641db859a03694eb4b9a2-ssl-df%22	https://kalvin.netlify.app/index-creative4.html	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/index-creative4.html	(from https://kalvin.netlify.app/index.html)
11:01:07	43061/43061	---M--	200	added ('OK')	image/jpeg	etag:%22399008e937ed96dbb7d71476eefc0364-ssl%22	https://kalvin.netlify.app/images/promo/promo-creative4.jpg	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/images/promo/promo-creative4.jpg	(from https://kalvin.netlify.app/index.html)
11:01:07	45376/45376	---M--	200	added ('OK')	image/jpeg	etag:%22fc201ed9c39671846a1d929f221d10f7-ssl%22	https://kalvin.netlify.app/images/promo/promo-particles1.jpg	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/images/promo/promo-particles1.jpg	(from https://kalvin.netlify.app/index.html)
11:01:08	33028/33028	---MCZ	200	added ('OK')	text/html	etag:%22003c8f3138414f2e35aa8433344abe80-ssl-df%22	https://kalvin.netlify.app/index-particles2.html	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/index-particles2.html	(from https://kalvin.netlify.app/index.html)
11:01:08	46551/46551	---M--	200	added ('OK')	image/jpeg	etag:%2254362aacc478072333a4c124f8e06a1f-ssl%22	https://kalvin.netlify.app/images/promo/promo-particles2.jpg	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/images/promo/promo-particles2.jpg	(from https://kalvin.netlify.app/index.html)
11:01:09	33028/33028	---MCZ	200	added ('OK')	text/html	etag:%221768a02799d4c6445c834bd68d3f3fb8-ssl-df%22	https://kalvin.netlify.app/index-particles3.html	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/index-particles3.html	(from https://kalvin.netlify.app/index.html)
11:01:10	33028/33028	---MCZ	200	added ('OK')	text/html	etag:%229d8f6e230431144649963783ac39433e-ssl-df%22	https://kalvin.netlify.app/index-particles4.html	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/index-particles4.html	(from https://kalvin.netlify.app/index.html)
11:01:10	25776/25776	---M--	200	added ('OK')	image/jpeg	etag:%22c8bd2d56809e77cf7d5b8f48e625c656-ssl%22	https://kalvin.netlify.app/images/promo/promo-blog-list.jpg	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/images/promo/promo-blog-list.jpg	(from https://kalvin.netlify.app/index.html)
11:01:10	18067/18067	---M--	200	added ('OK')	image/jpeg	etag:%22fb523cf9489b362d83619721dcc2a6b4-ssl%22	https://kalvin.netlify.app/images/promo/promo-blog-single.jpg	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/images/promo/promo-blog-single.jpg	(from https://kalvin.netlify.app/index.html)
11:01:11	14832/14832	---MCZ	200	added ('OK')	application/javascript	etag:%228e31b2589fa6396a1ed4210a6c4e7a74-ssl-df%22	https://kalvin.netlify.app/js/jquery.ripples-min.js	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/js/jquery.ripples-min.js	(from https://kalvin.netlify.app/index.html)
11:01:14	17770/17770	---M--	200	added ('OK')	image/jpeg	etag:%22adf6703812721af27f3f6bca7eef6519-ssl%22	https://kalvin.netlify.app/images/blog/comment-authors/img-1.jpg	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/images/blog/comment-authors/img-1.jpg	(from https://kalvin.netlify.app/single-blog.html)
11:01:14	100455/100455	---M--	200	added ('OK')	image/jpeg	etag:%22b80815e8307b5e30fd5c1181fbd52828-ssl%22	https://kalvin.netlify.app/images/blog/blog-big.jpg	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/images/blog/blog-big.jpg	(from https://kalvin.netlify.app/single-blog.html)
11:01:15	15017/15017	---M--	200	added ('OK')	image/jpeg	etag:%22f9fa9eee173ff88467bd9b961231c7c2-ssl%22	https://kalvin.netlify.app/images/blog/comment-authors/img-2.jpg	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/images/blog/comment-authors/img-2.jpg	(from https://kalvin.netlify.app/single-blog.html)
11:01:16	12531/12531	---M--	200	added ('OK')	image/jpeg	etag:%22061299023a858cf5bfd3e53df89a9d13-ssl%22	https://kalvin.netlify.app/images/blog/comment-authors/img-3.jpg	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/images/blog/comment-authors/img-3.jpg	(from https://kalvin.netlify.app/single-blog.html)
11:01:17	37103/37103	---M--	200	added ('OK')	image/jpeg	etag:%228c8e6eefc9f417c7a1616495db4aa77c-ssl%22	https://kalvin.netlify.app/images/blog/img-5.jpg	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/images/blog/img-5.jpg	(from https://kalvin.netlify.app/blogs-page.html)
11:01:18	47177/47177	---M--	200	added ('OK')	image/jpeg	etag:%22357a4f08d6f4ca4ea60ff65670906d5e-ssl%22	https://kalvin.netlify.app/images/blog/img-6.jpg	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/images/blog/img-6.jpg	(from https://kalvin.netlify.app/blogs-page.html)
11:01:21	7882/7882	---MCZ	200	added ('OK')	application/javascript	etag:%2242ffa2b975e42e86a5302a19068e0904-ssl-df%22	https://kalvin.netlify.app/js/jquery.superslides.min.js	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/js/jquery.superslides.min.js	(from https://kalvin.netlify.app/index-slider.html)
11:01:23	14224/14224	---MCZ	200	added ('OK')	application/javascript	etag:%228544a2366dcc8621d50d9f3a9ad895a5-ssl-df%22	https://kalvin.netlify.app/js/ultimate-bg.js	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/js/ultimate-bg.js	(from https://kalvin.netlify.app/index-videobg.html)
11:01:25	341975/341975	---M--	200	added ('OK')	image/jpeg	etag:%2255972b7e7dec6e1abe2681c25661603a-ssl%22	https://kalvin.netlify.app/images/slider/img-2.jpg	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/images/slider/img-2.jpg	(from https://kalvin.netlify.app/index-slider.html)
11:01:26	338992/338992	---M--	200	added ('OK')	image/jpeg	etag:%2200238fc3905467fe387552c3b61c056b-ssl%22	https://kalvin.netlify.app/images/slider/img-1.jpg	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/images/slider/img-1.jpg	(from https://kalvin.netlify.app/index-slider.html)
11:01:29	518696/518696	---M--	200	added ('OK')	image/jpeg	etag:%22bd24aefb49d945eeaf589bd784f1124c-ssl%22	https://kalvin.netlify.app/images/background/creative2-banner-bg.jpg	C:/My%20Web%20Sites/Portfolio/kalvin.netlify.app/images/background/creative2-banner-bg.jpg	(from https://kalvin.netlify.app/index-creative2.html)
